participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008111146484072_968035,nonwords,1,1,froald,0,0,1,0,13.791
20241008111146484072_968035,nonwords,1,2,spoer,0,0,0,1,1.819
20241008111146484072_968035,nonwords,1,3,sprect,0,0,0,1,1.307
20241008111146484072_968035,nonwords,1,4,quaulk,0,0,1,0,1.169
20241008111146484072_968035,images,2,1,helicopter,0,0,1,0,2.938
20241008111146484072_968035,images,2,2,slippers,0,0,0,1,3.865
20241008111146484072_968035,images,2,3,vest,0,0,1,0,1.017
20241008111146484072_968035,images,2,4,buffalo,0,0,0,1,0.943
20241008111146484072_968035,words,3,1,moth,0,0,0,1,2.175
20241008111146484072_968035,words,3,2,honeydew,0,0,1,0,1.401
20241008111146484072_968035,words,3,3,woodpecker,0,0,1,0,0.997
20241008111146484072_968035,words,3,4,boots,0,0,1,0,1.118
