participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008105536188113_226135,nonwords,1,1,zloisch,0,0,0,1,1.881
20241008105536188113_226135,nonwords,1,2,schim,0,0,0,1,1.066
20241008105536188113_226135,nonwords,1,3,staiph,0,0,1,0,1.104
20241008105536188113_226135,nonwords,1,4,kuild,0,0,1,0,0.817
20241008105536188113_226135,words,2,1,pepper,0,0,1,0,1.163
20241008105536188113_226135,words,2,2,boots,0,0,0,1,1.086
20241008105536188113_226135,words,2,3,canary,0,0,0,1,0.691
20241008105536188113_226135,words,2,4,shoes,0,0,1,0,0.817
20241008105536188113_226135,images,3,1,lettuce,0,0,1,0,0.823
20241008105536188113_226135,images,3,2,turtle,0,0,0,1,0.911
20241008105536188113_226135,images,3,3,balloon,0,0,0,1,1.036
20241008105536188113_226135,images,3,4,drill,0,0,1,0,0.839
