participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008110532740721_125567,images,1,1,coat,0,0,1,0,1.505
20241008110532740721_125567,images,1,2,turkey,0,0,0,1,5.952
20241008110532740721_125567,images,1,3,bow,0,0,0,1,0.907
20241008110532740721_125567,images,1,4,horse,0,0,1,0,1.939
20241008110532740721_125567,nonwords,2,1,sceerch,0,0,1,0,5.645
20241008110532740721_125567,nonwords,2,2,choamp,0,0,1,0,1.690
20241008110532740721_125567,nonwords,2,3,smiesm,0,0,1,0,1.672
20241008110532740721_125567,nonwords,2,4,staiph,0,0,1,0,0.778
20241008110532740721_125567,words,3,1,motorcycle,0,0,1,0,0.180
20241008110532740721_125567,words,3,2,snake,0,0,1,0,0.718
20241008110532740721_125567,words,3,3,skirt,0,0,1,0,0.322
20241008110532740721_125567,words,3,4,scooter,0,0,1,0,0.413
